busan,bcr,far
2014/07,56.11,154.17
2014/08,56.1096,154.1944
2014/09,56.1092,154.2188
2014/10,56.1088,154.2432
2014/11,56.1084,154.2676
2014/12,56.108,154.292
2015/01,56.1076,154.3164
2015/02,56.1072,154.3408
2015/03,56.1068,154.3652
2015/04,56.1064,154.3896
2015/05,56.106,154.414
2015/06,56.1056,154.4384
2015/07,56.1052,154.4628
2015/08,56.1048,154.4872
2015/09,56.1044,154.5116
2015/10,56.104,154.536
2015/11,56.1036,154.5604
2015/12,56.1032,154.5848
2016/01,56.1028,154.6092
2016/02,56.1024,154.6336
2016/03,56.102,154.658
2016/04,56.1016,154.6824
2016/05,56.1012,154.7068
2016/06,56.1008,154.7312
2016/07,56.1004,154.7556
2016/08,56.1,154.78
2016/09,56.084,154.812
2016/10,56.068,154.844
2016/11,56.052,154.876
2016/12,56.036,154.908
2017/01,56.02,154.94
2017/02,56.004,154.972
2017/03,55.988,155.004
2017/04,55.972,155.036
2017/05,55.956,155.068
2017/06,55.94,155.1
2017/07,55.924,155.132
2017/08,55.908,155.164
2017/09,55.892,155.196
2017/10,55.876,155.228
2017/11,55.86,155.26
2017/12,55.84,155.255
2018/01,55.82,155.25
2018/02,55.8,155.245
2018/03,55.78,155.24
2018/04,55.78,155.27
2018/05,55.77,155.28
2018/06,55.77,155.29
2018/07,55.73,155.66
2018/08,55.72,155.65
2018/09,55.7,155.63
2018/10,55.68,155.64
2018/11,55.67,155.64
2018/12,55.65,155.64
2019/01,55.64,155.67
2019/02,55.63,155.68
2019/03,55.62,155.69
2019/04,55.62,155.74
2019/05,55.6,155.78
2019/06,55.6,155.81
2019/07,55.59,155.83
2019/08,55.59,155.88
2019/09,55.58,155.89
2019/10,55.52,156.11
2019/11,55.5,156.18
2019/12,55.49,156.26
2020/01,55.49,156.3
2020/02,55.48,156.32
2020/03,55.48,156.35
2020/04,55.47,156.4
2020/05,55.47,156.4
2020/06,55.46,156.5
2020/07,55.46,156.53
2020/08,55.46,156.61
2020/09,55.45,156.62
2020/10,55.39,156.72
2020/11,55.39,156.74
2020/12,55.38,156.78
2021/01,55.38,156.81
2021/02,55.37,156.8
2021/03,55.37,156.8
2021/04,55.36,156.85
2021/05,55.37,156.92
2021/06,55.37,156.94
2021/07,55.36,156.99
2021/08,55.36,157.01
2021/09,55.35,157.01
2021/10,55.35,157.03
2021/11,55.35,157.1
2021/12,55.34,157.07
2022/01,55.33,157.08
2022/02,55.33,157.11
2022/03,55.33,157.13
2022/04,55.32,157.16
2022/05,55.33,157.26
2022/06,55.33,157.29
2022/07,55.33,157.31
2022/08,55.33,157.31
2022/09,55.32,157.35
2022/10,55.33,157.39
2022/11,55.33,157.38
2022/12,55.33,157.37
2023/01,55.33,157.37
2023/02,55.33,157.37
2023/03,55.33,157.36
2023/04,55.32,157.32
2023/05,55.32,157.31
2023/06,55.32,157.28
2023/07,55.31,157.26
2023/08,55.31,157.25
2023/09,55.31,157.26
2023/10,55.22,157.23
2023/11,55.21,157.22
2023/12,55.2,157.22